iter	Passed	Remaining
406	5658	2683
407	5671	2669
408	5685	2655
409	5698	2640
410	5714	2627
411	5726	2612
412	5739	2598
413	5753	2584
414	5767	2571
415	5781	2556
416	5795	2543
417	5808	2528
418	5822	2515
419	5838	2502
420	5850	2487
421	5863	2473
422	5875	2458
423	5890	2445
424	5904	2431
425	5917	2416
426	5930	2402
427	5943	2388
428	5956	2374
429	5969	2360
430	5982	2345
431	5995	2331
432	6007	2316
433	6020	2302
434	6033	2288
435	6046	2274
436	6058	2259
437	6071	2245
438	6084	2231
439	6100	2218
440	6115	2204
441	6130	2191
442	6142	2177
443	6154	2162
444	6172	2149
445	6184	2135
446	6199	2122
447	6213	2108
448	6228	2094
449	6242	2080
450	6257	2067
451	6271	2053
452	6287	2040
453	6302	2026
454	6315	2012
455	6332	1999
456	6346	1985
457	6359	1971
458	6372	1957
459	6385	1943
460	6396	1928
461	6410	1914
462	6422	1900
463	6433	1885
464	6447	1871
465	6460	1857
466	6472	1843
467	6486	1829
468	6498	1815
469	6511	1801
470	6524	1787
471	6537	1772
472	6549	1758
473	6561	1744
474	6573	1729
475	6584	1715
476	6596	1701
477	6608	1686
478	6619	1672
479	6630	1657
480	6642	1643
481	6656	1629
482	6668	1615
483	6682	1601
484	6694	1587
485	6708	1573
486	6719	1559
487	6733	1545
488	6751	1532
489	6771	1520
490	6789	1507
491	6806	1494
492	6835	1483
493	6850	1470
494	6864	1456
495	6878	1442
496	6893	1428
497	6907	1414
498	6921	1400
499	6936	1387
500	6958	1374
501	6977	1362
502	6993	1348
503	7009	1335
504	7021	1320
505	7033	1306
506	7046	1292
507	7058	1278
508	7076	1265
509	7091	1251
510	7104	1237
511	7119	1223
512	7131	1209
513	7143	1195
514	7160	1181
515	7175	1168
516	7189	1154
517	7202	1140
518	7213	1125
519	7226	1111
520	7241	1098
521	7257	1084
522	7271	1070
523	7287	1056
524	7299	1042
525	7312	1028
526	7324	1014
527	7336	1000
528	7349	986
529	7362	972
530	7375	958
531	7389	944
532	7402	930
533	7414	916
534	7426	902
535	7439	888
536	7452	874
537	7463	860
538	7475	846
539	7488	832
540	7503	818
541	7518	804
542	7534	790
543	7548	777
544	7560	763
545	7573	749
546	7587	735
547	7599	721
548	7613	707
549	7626	693
550	7641	679
551	7657	665
552	7676	652
553	7690	638
554	7703	624
555	7718	610
556	7732	596
557	7749	583
558	7764	569
559	7778	555
560	7791	541
561	7807	527
562	7820	513
563	7832	499
564	7846	486
565	7859	472
566	7872	458
567	7885	444
568	7898	430
569	7911	416
570	7923	402
571	7937	388
572	7950	374
573	7963	360
574	7975	346
575	7987	332
576	8003	319
577	8021	305
578	8037	291
579	8050	277
580	8064	263
581	8077	249
582	8090	235
583	8103	222
584	8116	208
585	8130	194
586	8143	180
587	8158	166
588	8170	152
589	8182	138
590	8193	124
591	8204	110
592	8215	96
593	8225	83
594	8235	69
595	8246	55
596	8257	41
597	8272	27
598	8286	13
599	8298	0
