iter	Passed	Remaining
407	6611	1490
408	6627	1474
409	6643	1458
410	6660	1442
411	6678	1426
412	6692	1409
413	6707	1393
414	6726	1377
415	6744	1361
416	6762	1345
417	6777	1329
418	6793	1313
419	6812	1297
420	6828	1281
421	6846	1265
422	6863	1249
423	6881	1233
424	6902	1218
425	6918	1201
426	6934	1185
427	6950	1169
428	6968	1153
429	6985	1137
430	6999	1120
431	7014	1104
432	7028	1087
433	7045	1071
434	7060	1055
435	7077	1038
436	7091	1022
437	7106	1005
438	7123	989
439	7139	973
440	7153	957
441	7168	940
442	7185	924
443	7202	908
444	7220	892
445	7235	876
446	7251	859
447	7267	843
448	7286	827
449	7305	811
450	7322	795
451	7339	779
452	7358	763
453	7373	747
454	7392	731
455	7410	715
456	7426	698
457	7441	682
458	7456	666
459	7471	649
460	7488	633
461	7507	617
462	7524	601
463	7539	584
464	7555	568
465	7573	552
466	7590	536
467	7605	520
468	7620	503
469	7638	487
470	7654	471
471	7669	454
472	7687	438
473	7703	422
474	7720	406
475	7734	389
476	7750	373
477	7766	357
478	7781	341
479	7796	324
480	7814	308
481	7834	292
482	7850	276
483	7866	260
484	7881	243
485	7898	227
486	7915	211
487	7933	195
488	7948	178
489	7965	162
490	7980	146
491	7997	130
492	8013	113
493	8029	97
494	8046	81
495	8065	65
496	8082	48
497	8097	32
498	8115	16
499	8134	0
